location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3409046,"D","pm25",9.44,"µg/m³","2025-02-18T18:01:55Z","2025-02-18T10:01:55-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.99,"µg/m³","2025-02-18T18:19:37Z","2025-02-18T10:19:37-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.62,"µg/m³","2025-02-18T18:37:17Z","2025-02-18T10:37:17-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.37,"µg/m³","2025-02-18T18:54:59Z","2025-02-18T10:54:59-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.98,"µg/m³","2025-02-18T19:12:42Z","2025-02-18T11:12:42-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.71,"µg/m³","2025-02-18T19:30:24Z","2025-02-18T11:30:24-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.89,"µg/m³","2025-02-18T19:48:06Z","2025-02-18T11:48:06-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.62,"µg/m³","2025-02-18T20:05:48Z","2025-02-18T12:05:48-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.34,"µg/m³","2025-02-18T20:23:28Z","2025-02-18T12:23:28-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.82,"µg/m³","2025-02-18T20:41:10Z","2025-02-18T12:41:10-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.99,"µg/m³","2025-02-18T20:58:52Z","2025-02-18T12:58:52-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",9.04,"µg/m³","2025-02-18T21:16:34Z","2025-02-18T13:16:34-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.29,"µg/m³","2025-02-18T21:34:18Z","2025-02-18T13:34:18-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.74,"µg/m³","2025-02-18T21:52:00Z","2025-02-18T13:52:00-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",7.85,"µg/m³","2025-02-18T22:09:40Z","2025-02-18T14:09:40-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.75,"µg/m³","2025-02-18T22:27:22Z","2025-02-18T14:27:22-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
3409046,"D","pm25",8.4,"µg/m³","2025-02-18T22:45:04Z","2025-02-18T14:45:04-08:00","America/Los_Angeles",37.87903,-122.30193,,,,"Clarity","Clarity"
