location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2812773,"Crossroads","pm25",8.52,"µg/m³","2024-04-24T15:01:10Z","2024-04-24T08:01:10-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",6.91,"µg/m³","2024-04-24T15:18:06Z","2024-04-24T08:18:06-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",7.67,"µg/m³","2024-04-24T15:35:01Z","2024-04-24T08:35:01-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",6.75,"µg/m³","2024-04-24T15:51:56Z","2024-04-24T08:51:56-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",7.12,"µg/m³","2024-04-24T16:08:51Z","2024-04-24T09:08:51-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",7.23,"µg/m³","2024-04-24T16:25:47Z","2024-04-24T09:25:47-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",11.12,"µg/m³","2024-04-24T16:42:42Z","2024-04-24T09:42:42-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",4.19,"µg/m³","2024-04-26T10:09:51Z","2024-04-26T03:09:51-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",3.07,"µg/m³","2024-04-26T10:26:47Z","2024-04-26T03:26:47-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",2.71,"µg/m³","2024-04-26T10:43:41Z","2024-04-26T03:43:41-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",3.45,"µg/m³","2024-04-26T11:00:36Z","2024-04-26T04:00:36-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",4.34,"µg/m³","2024-04-26T11:17:31Z","2024-04-26T04:17:31-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",2.7,"µg/m³","2024-04-26T11:34:27Z","2024-04-26T04:34:27-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",4.23,"µg/m³","2024-04-26T11:51:22Z","2024-04-26T04:51:22-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",4.2,"µg/m³","2024-04-26T12:08:17Z","2024-04-26T05:08:17-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",2.44,"µg/m³","2024-04-26T12:25:12Z","2024-04-26T05:25:12-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",1.8,"µg/m³","2024-04-26T12:42:07Z","2024-04-26T05:42:07-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",1.89,"µg/m³","2024-04-26T12:59:02Z","2024-04-26T05:59:02-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",7.12,"µg/m³","2024-04-26T13:15:57Z","2024-04-26T06:15:57-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",7.69,"µg/m³","2024-04-26T13:32:52Z","2024-04-26T06:32:52-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
2812773,"Crossroads","pm25",6.84,"µg/m³","2024-04-26T13:49:47Z","2024-04-26T06:49:47-07:00","America/Los_Angeles",37.86691,-122.25618,,,,"Clarity","Clarity"
