location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
2812665,"VLSB","pm25",4.1,"µg/m³","2024-04-24T15:06:16Z","2024-04-24T08:06:16-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",4.3,"µg/m³","2024-04-24T15:23:23Z","2024-04-24T08:23:23-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",5.08,"µg/m³","2024-04-24T15:40:29Z","2024-04-24T08:40:29-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",5.25,"µg/m³","2024-04-24T15:57:35Z","2024-04-24T08:57:35-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",4.3,"µg/m³","2024-04-24T16:14:41Z","2024-04-24T09:14:41-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",4.87,"µg/m³","2024-04-24T16:31:48Z","2024-04-24T09:31:48-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",4.68,"µg/m³","2024-04-24T16:48:54Z","2024-04-24T09:48:54-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",2.54,"µg/m³","2024-04-26T10:09:02Z","2024-04-26T03:09:02-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",2.67,"µg/m³","2024-04-26T10:26:08Z","2024-04-26T03:26:08-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",1.17,"µg/m³","2024-04-26T10:43:15Z","2024-04-26T03:43:15-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",1.4,"µg/m³","2024-04-26T11:00:21Z","2024-04-26T04:00:21-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",1.54,"µg/m³","2024-04-26T11:17:27Z","2024-04-26T04:17:27-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",1.42,"µg/m³","2024-04-26T11:34:33Z","2024-04-26T04:34:33-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",1.04,"µg/m³","2024-04-26T11:51:39Z","2024-04-26T04:51:39-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",0.77,"µg/m³","2024-04-26T12:08:46Z","2024-04-26T05:08:46-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",0.55,"µg/m³","2024-04-26T12:25:52Z","2024-04-26T05:25:52-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
2812665,"VLSB","pm25",0.63,"µg/m³","2024-04-26T12:42:58Z","2024-04-26T05:42:58-07:00","America/Los_Angeles",37.87148,-122.26221,,,,"Clarity","Clarity"
